AirName,AircraftModel,Comments,DateFlown,EntertainmentRating,FoodRating,GroundServiceRating,OverallScore,Recommended,ReviewDate,ReviewTitle,ReviewrCountry,Route,SeatComfortRating,SeatType,ServiceRating,TravelType,ValueRating,WifiRating
British Airways,A380 / Boeing 777-200ER,,August 2023,4,4,5,3,,14th May 2024,"""appalling customer service""", (Austria) ,London to San Francisco,2,Business Class,5,Family Leisure,2,0
British Airways,,,May 2024,2,1,1,2,,8th May 2024,"""baggage customer service is a joke""", (Austria) ,Malaga to Boston via London,2,Economy Class,2,Couple Leisure,2,1
British Airways,A380,,April 2024,2,3,2,1,,8th May 2024,"""Worst business class ever""", (Austria) ,Milan Linate to Miami via London Heathrow,1,Business Class,2,Couple Leisure,1,0
British Airways,A320,,May 2024,0,1,3,4,,7th May 2024,"""replicating the likes of Ryanair""", (Austria) ,Catania to Gatwick,2,Economy Class,1,Couple Leisure,1,1
British Airways,,,August 2024,0,0,1,1,,5th August 2024,"""missed my connecting flight""", (United States) ,Rome to Philadelphia via London,3,Economy Class,3,Solo Leisure,1,1
British Airways,,,August 2024,0,1,1,1,,3rd August 2024,“time to change leadership team”, (United States) ,London to Bologna,3,Economy Class,1,Business,1,0
British Airways,A380,,August 2024,2,3,1,1,,2nd August 2024,"""avoid it at all cost!"" ", (United States) ,Sydney to London,1,Business Class,3,Business,1,1
British Airways,A320,,August 2024,0,4,5,10,yes,2nd August 2024,“Great customer service from BA”, (United States) ,Dublin to London Heathrow,3,Business Class,5,Solo Leisure,4,0
British Airways,,,July 2024,0,0,1,1,,30th July 2024,"""Absolute worst travel experience""", (United States) ,London to Los Angeles via Paris CDG,1,Economy Class,1,Couple Leisure,1,0
British Airways,,,July 2024,3,3,1,3,,30th July 2024,"""one of the worst airlines""", (United States) ,London Heathrow to Doha,5,Business Class,1,Business,1,3
British Airways,,,July 2024,0,1,1,1,,28th July 2024,"""my travel pram confiscated from me""", (United States) ,Toulouse to London Heathrow,1,Economy Class,1,Family Leisure,1,0
British Airways,Boeing 777,,July 2024,1,1,1,1,,19th July 2024,“VERY uncomfortable seats”, (United States) ,San Diego to London,1,Economy Class,1,Couple Leisure,1,0
British Airways,A380-800,,July 2024,3,3,5,1,yes,16th July 2024,"""substandard business class experience""", (United States) ,Singapore to London,3,Business Class,2,Family Leisure,2,0
British Airways,,,June 2024,3,4,2,1,,15th July 2024,"""Customer Service is shocking""", (United States) ,Glasgow to Munich via Heathrow,3,Economy Class,4,Solo Leisure,3,3
British Airways,,,April 2024,0,0,1,2,,5th May 2024,"""declined to offer compensation"" ", (United Kingdom) ,London to Hannover,3,Economy Class,3,Solo Leisure,1,1
British Airways,A319 / A320,,April 2024,0,2,4,6,yes,1st May 2024,"""onboard like discount carriers""", (United Kingdom) ,Manchester to Copenhagen via London,3,Economy Class,3,Solo Leisure,4,0
British Airways,,,April 2024,0,0,1,1,,30th April 2024,"""Never using them again""", (United Kingdom) ,London to Valencia,1,Economy Class,1,Solo Leisure,1,1
British Airways,A380,,April 2024,1,3,1,1,,27th April 2024,"""undiscerning and insincere compensation""", (United Kingdom) ,Singapore to London,3,Economy Class,3,Business,1,0
British Airways,A320,,April 2024,0,1,2,1,,25th April 2024,"""mock and insult your passengers""", (United Kingdom) ,Madrid to London Heathrow,3,Economy Class,1,Business,1,4
British Airways,A350,,April 2024,0,1,1,1,,22nd April 2024,"""lost my luggage on both flights""", (United Kingdom) ,Austin to London Heathrow,3,Economy Class,2,Solo Leisure,1,1
British Airways,,,February 2024,2,1,1,1,,20th April 2024,"""the worst experience"" ", (United Kingdom) ,Zurich to Phoenix via Heathrow,2,Premium Economy,1,Couple Leisure,1,2
British Airways,A319 / E190,,March 2024,0,3,3,6,,12th April 2024,"""The flights were okay""", (United Kingdom) ,Rotterdam to London City,3,Economy Class,3,Couple Leisure,2,0
British Airways,,,April 2024,0,0,3,1,,10th April 2024,“entire experience has been stressful”, (United Kingdom) ,Kansas City to Dublin via Heathrow,2,Premium Economy,3,Solo Leisure,1,0
British Airways,,,January 2024,0,0,1,1,,10th April 2024,"""whole experience was awful""", (United Kingdom) ,Tenerife to London,0,Economy Class,0,Family Leisure,1,0
British Airways,A340,,March 2024,4,3,5,10,yes,7th April 2024,“This is true service”, (United States) ,Lisbon to San Diego,3,Business Class,4,Business,4,4
British Airways,Boeing 787,,March 2024,4,3,4,7,yes,3rd April 2024,"""Flight attendants welcoming""", (United States) ,London Heathrow to Mumbai,3,Business Class,5,Business,3,0
British Airways,Boeing 777-200,,March 2024,2,1,2,3,,2nd April 2024,"""the service was appalling""", (United States) ,Doha to London Heathrow,3,Business Class,1,Couple Leisure,1,1
British Airways,Boeing 777-200,,March 2024,5,1,5,4,,2nd April 2024,"""service was slow and unfriendly""", (United States) ,Doha to London Heathrow,5,Business Class,1,Couple Leisure,3,1
British Airways,A350,,March 2024,5,5,4,8,yes,28th March 2024,"""a really lovely flight"" ", (United States) ,London Heathrow to São Paulo,4,Business Class,4,Solo Leisure,4,0
British Airways,,,March 2024,0,0,2,1,,28th March 2024,"""travelling with British Airways so stressful""", (United States) ,London Heathrow to Nice,4,Economy Class,3,Couple Leisure,1,0
British Airways,Boeing 777,,March 2024,5,5,3,8,yes,26th March 2024,“didn't find the crew particularly welcoming”, (United States) ,London to Tokyo,5,Business Class,2,Business,4,0
British Airways,A320,,March 2024,0,0,1,5,yes,26th March 2024,"""I would say disappointing"" ", (United States) ,Lisbon to London ,4,Economy Class,3,Business,3,0
British Airways,Boeing 777,,February 2024,5,5,5,10,yes,25th March 2024,"""Exceptional flight""", (United States) ,London to Delhi,5,Business Class,5,Couple Leisure,5,0
British Airways,A320,,March 2024,0,5,4,9,yes,25th March 2024,"""Cabin crew attentive and bubbly""", (United States) ,London to Milan,5,Economy Class,5,Couple Leisure,5,0
British Airways,,,March 2024,0,0,3,3,,25th March 2024,“a terrible and unnecessary experience”, (United Kingdom) ,Madrid to London Heathrow,3,Economy Class,3,Couple Leisure,2,0
British Airways,A320,,March 2024,0,0,3,8,yes,21st March 2024,"""stick to their cabin bag size limit""", (United Kingdom) ,London Heathrow to Toulouse,4,Economy Class,4,Solo Leisure,3,0
British Airways,Boeing 787-8 /777-200 / A320-200,,March 2024,4,5,3,8,yes,21st March 2024,"""crew were attentive, friendly""", (United Kingdom) ,Montreal to Venice via London Heathrow,4,Economy Class,5,Family Leisure,4,0
British Airways,A321,,March 2024,1,2,1,3,,19th March 2024,"""Utterly outrageous""", (United Kingdom) ,Paphos to London,2,Business Class,1,Business,1,2
British Airways,Boeing 777-300,,March 2024,2,3,1,3,,19th March 2024,"""They have a long way to go"" ", (United Kingdom) ,London to Houston,1,Business Class,3,Business,1,2
British Airways,A320,,March 2024,0,3,3,7,yes,14th March 2024,"""FA's were friendly""", (United Kingdom) ,London Heathrow to Brussels,2,Business Class,4,Solo Leisure,3,0
British Airways,Boeing 777,,March 2024,2,2,1,3,,14th March 2024,"""Far from pleasant experience""", (United Kingdom) ,Barbados to London heathrow,3,Business Class,3,Solo Leisure,2,0
British Airways,,,February 2024,0,2,1,1,,12th March 2024,"""cancelled our return flight"" ", (United Kingdom) ,Toronto to Mumbai via London ,2,Economy Class,1,Family Leisure,1,0
British Airways,,,February 2024,0,1,2,7,yes,11th March 2024,"""KLM is definitely a league over BA""", (United Kingdom) ,Copenhagen to Port of Spain via London,3,Economy Class,4,Family Leisure,5,0
British Airways,Boeing 777-300ER,,March 2024,0,1,3,1,,10th March 2024,"""Service extremely inattentive"" ", (United Kingdom) ,Los Angeles to London ,2,First Class,1,Solo Leisure,1,3
British Airways,Boeing 777-300,,March 2024,2,2,3,3,,5th March 2024,"""worst business class experience""", (Australia) ,Singapore to Sydney,1,Business Class,1,Business,2,0
British Airways,,,February 2024,1,0,3,1,,4th March 2024,"""it's truly awful for short-haul""", (Australia) ,Cyprus to London,1,Business Class,3,Business,1,1
British Airways,,,March 2024,3,3,1,1,,4th March 2024,"""never be flying with BA again""", (Australia) ,Singapore to Auckland via Sydney,2,Economy Class,3,Solo Leisure,1,1
British Airways,Boeing 787,,March 2024,2,1,2,3,,4th March 2024,"""it was extremely underwhelming""", (Australia) ,London Heathrow to Mexico City,2,Business Class,2,Couple Leisure,1,1
British Airways,A319,,February 2024,0,5,5,10,yes,2nd March 2024,"""an excellent experience"" ", (Australia) ,Heathrow to Oslo,4,Business Class,5,Solo Leisure,5,0
British Airways,,,June 2023,0,0,0,1,,1st March 2024,"""they refused to fly me back!", (Australia) ,Sydney to Porto via Singapore / London,0,Economy Class,0,Solo Leisure,1,0
British Airways,A320,,February 2024,0,1,2,3,,29th February 2024,"""Poor from start to finish""", (Australia) ,London Heathrow to Lisbon,1,Economy Class,3,Couple Leisure,3,0
British Airways,A320,,February 2024,0,0,1,2,,29th February 2024,“customer service non existent”, (Australia) ,Madrid to London via Buenos Aires,1,Premium Economy,3,Solo Leisure,1,0
British Airways,,,September 2023,0,0,0,1,,23rd February 2024,"""no better than the worst of the low cost""", (Australia) ,Pisa to London Heathrow,0,Economy Class,0,Couple Leisure,1,0
British Airways,A320,,February 2024,0,5,4,10,yes,21st February 2024,"""could not have been better""", (Australia) ,Malaga to London Heathrow,5,Business Class,5,Couple Leisure,4,0
British Airways,A350,,February 2024,3,3,1,3,,17th February 2024,"""Never again""", (United States) ,Phoenix to Lisbon via London,1,Economy Class,5,Couple Leisure,1,1
British Airways,A320,,February 2024,0,1,2,3,,17th February 2024,"""Is this how low BA has fallen?"" ", (United States) ,London to Istanbul ,3,Economy Class,1,Solo Leisure,2,0
British Airways,Boeing 777,,January 2024,3,3,4,2,,16th February 2024,“It was a terrible experience”, (United States) ,"Austin, TX to Shannon, Ireland via Austin",3,Premium Economy,5,Solo Leisure,2,0
British Airways,A380,,November 2023,0,1,4,5,,11th February 2024,"""all needs a serious rework""", (United States) ,London to San Francisco,1,First Class,4,Solo Leisure,1,2
British Airways,,,February 2024,0,0,1,1,,8th February 2024,"""flights they have not actually provided""", (United States) ,London Heathrow to Casablanca,0,Economy Class,0,Couple Leisure,1,0
British Airways,,,January 2024,0,0,5,8,yes,6th February 2024,“meticulous attention to detail”, (United States) ,London Heathrow to Glasgow,4,Premium Economy,3,Family Leisure,4,0
British Airways,,,October 2023,0,0,1,1,,5th February 2024,“they have ignored every communication”, (United States) ,London Heathrow to Berlin,1,Economy Class,1,Couple Leisure,1,0
British Airways,A380-800,,February 2024,3,4,2,6,,2nd February 2024,"""fabulous cabin crew""", (United States) ,London to Miami,3,Business Class,4,Couple Leisure,3,0
British Airways,,,December 2023,0,5,4,9,yes,30th January 2024,"""no great expectations"" ", (United States) ,Athens to London ,3,Business Class,5,Solo Leisure,4,3
British Airways,Boeing 777-200,,January 2024,4,4,1,8,yes,29th January 2024,"""actively try and split families up""", (United States) ,London Gatwick to Cancun,4,Premium Economy,4,Family Leisure,4,4
British Airways,,,January 2024,2,3,1,3,yes,28th January 2024,"""my cabin luggage was taken""", (Ukraine) ,London to Warsaw,3,Economy Class,3,Business,3,3
British Airways,,,December 2023,2,2,3,2,,26th January 2024,“appalling service”, (Ukraine) ,London Heathrow to Miami,2,Business Class,1,Family Leisure,2,0
British Airways,,,January 2024,1,1,1,1,,23rd January 2024,“Worst service ever”, (Ukraine) ,Boston to Düsseldorf via London,1,Economy Class,2,Solo Leisure,1,0
British Airways,A350,,January 2024,3,3,3,6,,21st January 2024,"""unprofessional attitude of the pilots"" ", (Ukraine) ,Sao Paulo to London Heathrow,3,Economy Class,4,Business,3,3
British Airways,A320,,January 2024,0,1,3,3,,18th January 2024,“Next time it will be Jet2”, (Ukraine) ,London Heathrow to Lisbon,1,Economy Class,4,Couple Leisure,4,0
British Airways,,,January 2024,1,1,1,2,,18th January 2024,“become the Ryanair of long-haul travel”, (Ukraine) ,London to Hong Kong ,1,Economy Class,3,Family Leisure,2,1
British Airways,,,January 2024,0,0,1,1,,17th January 2024,“They never help us”, (Ukraine) ,Dusseldorf (DUS) to Miami (MIA) ,1,Business Class,1,Family Leisure,1,0
British Airways,,,January 2024,0,1,1,1,,16th January 2024,“uncomfortable seat and disgusting food”, (Ukraine) ,Cairo to London Heathrow,1,Business Class,1,Family Leisure,1,0
British Airways,,,January 2024,0,0,1,1,,15th January 2024,"""Zero customer service""", (Ukraine) ,Dublin  to London Heathrow,3,Economy Class,3,Family Leisure,3,1
British Airways,,,January 2024,0,0,4,4,,12th January 2024,"""baggage arrival nearly took 1.5 hours"" ", (Ukraine) ,Glasgow to London,3,Economy Class,4,Business,3,0
British Airways,A350-1000,,January 2024,4,3,5,9,yes,12th January 2024,"""Overall very satisfied""", (United Kingdom) ,Vancouver to London,4,Economy Class,5,Solo Leisure,5,4
British Airways,A320,,October 2023,1,1,1,1,,9th January 2024,"""airline is a total disgrace"" ", (United Kingdom) ,Heathrow to Madrid,1,Business Class,1,Business,1,1
British Airways,Boeing 777 -200,,November 2023,5,5,5,9,yes,7th January 2024,"""we were pleased with the service""", (United Kingdom) ,London to New York,5,Business Class,5,Couple Leisure,4,0
British Airways,,,January 2024,0,4,1,6,,3rd January 2024,"""Gate agent was extremely rude""", (United Kingdom) ,Rome to London,4,Economy Class,5,Family Leisure,2,0
British Airways,,,December 2023,1,1,1,1,,2nd January 2024,"""incredibly heartless and incompetent company""", (United Kingdom) ,Gatwick to Geneva,2,Business Class,1,Family Leisure,1,1
British Airways,A320,,December 2023,1,5,2,8,yes,29th December 2023,"""their service was hit-and-miss""", (United Kingdom) ,Istanbul to London Heathrow,1,Business Class,4,Solo Leisure,4,0
British Airways,A320,,December 2023,1,1,5,6,,29th December 2023,""" Worse than a low-cost carrier""", (United Kingdom) ,London Heathrow to Istanbul,3,Economy Class,2,Solo Leisure,2,0
British Airways,Boeing 777,,December 2023,2,2,1,2,,27th December 2023,"""Very Poor Business class product""", (United Kingdom) ,Gatwick to St Lucia,1,Business Class,5,Business,2,2
British Airways,Boeing 777,,December 2023,3,1,3,5,,27th December 2023,“if GF - take your own food”, (United Kingdom) ,Sydney to London Heathrow,5,Business Class,3,Couple Leisure,3,0
British Airways,Boeing 777,,November 2023,1,4,3,3,,23rd December 2023,“pathetic business class product”, (United Kingdom) ,Lisbon to Houston via London Heathrow,1,Business Class,2,Business,1,1
British Airways,A350,,December 2023,5,2,5,6,,21st December 2023,“Staff look tired and overworked”, (Canada) ,Vancouver to London Heathrow ,4,Premium Economy,3,Solo Leisure,2,0
British Airways,A329,,December 2023,0,5,5,10,yes,21st December 2023,“I couldn’t fault them”, (Canada) ,London Heathrow to Stockholm,4,Business Class,5,Family Leisure,5,0
British Airways,,,December 2023,0,0,1,1,,21st December 2023,“incompetence in customer service”, (Canada) ,Indianapolis to Mumbai via London Heathrow ,1,Economy Class,1,Solo Leisure,1,0
British Airways,,,December 2023,0,0,1,1,,20th December 2023,“The most ridiculous thing I've heard”, (Canada) ,Cyprus to New York,0,Premium Economy,0,Family Leisure,1,0
British Airways,A321,,December 2023,0,1,3,6,yes,20th December 2023,"""one of the most disgusting onboard meals""", (Canada) ,Gran Canaria  to London Gatwick,3,Business Class,4,Solo Leisure,5,0
British Airways,A320/Boeing 777,,November 2023,3,1,5,6,yes,18th December 2023,“Does BA pay experts to design these breakfasts”, (Canada) ,Belfast City to Atlanta via London Heathrow  ,4,Business Class,5,Couple Leisure,5,0
British Airways,Boeing 787-8,,December 2023,3,4,3,4,,17th December 2023,"""business class seats were abysmal""", (Canada) ,London to Portland,3,Business Class,3,Business,2,0
British Airways,,,June 2023,0,0,1,1,,15th December 2023,"""Worst service/airline ever""", (Canada) ,London to Frankfurt,1,Economy Class,0,Solo Leisure,1,0
British Airways,A350,,December 2023,5,5,5,8,yes,14th December 2023,“Much better experience this time around”, (Canada) ,Cape Town to London Heathrow ,5,Business Class,4,Solo Leisure,4,1
British Airways,,,December 2023,3,2,1,3,,12th December 2023,"“our compensation rights""", (Canada) ,Miami to Manchester via Heathrow,1,Business Class,3,Couple Leisure,2,1
British Airways,A380,,December 2023,2,2,4,4,,12th December 2023,"""A380's are showing their age""", (United Kingdom) ,Johannesburg to London ,2,Economy Class,4,Solo Leisure,3,0
British Airways,Boeing 777,,December 2023,4,4,4,9,yes,10th December 2023,"""Service was fantastic"" ", (United Kingdom) ,London Heathrow to Singapore,3,Economy Class,5,Solo Leisure,5,0
British Airways,A320,,December 2023,0,5,3,9,yes,10th December 2023,"""it was a very nice flight"" ", (United Kingdom) ,Gatwick to Las Palmas,3,Business Class,4,Solo Leisure,5,0
British Airways,A319,,December 2023,0,5,5,10,yes,9th December 2023,"""onboard service was efficient""", (United Kingdom) ,London Heathrow to Geneva,4,Economy Class,5,Couple Leisure,5,5
British Airways,,,November 2023,4,5,1,1,,6th December 2023,“Lots of stress”, (United Kingdom) ,Madrid to San Francisco via London Heathrow,5,Economy Class,5,Solo Leisure,1,1
British Airways,,,November 2023,0,0,1,1,,5th December 2023,"""did not offer a wheelchair""", (United Kingdom) ,Lisbon to London Heathrow,1,Economy Class,1,Couple Leisure,1,0
British Airways,A380,,November 2023,4,4,4,7,yes,4th December 2023,“Seat was fine but product ageing”, (United Kingdom) ,Miami to London Heathrow ,4,Business Class,3,Couple Leisure,3,3
British Airways,,,December 2023,0,0,1,1,,3rd December 2023,"""such a terrible customer experience"" ", (United Kingdom) ,Palma de Mallorca to Gatwick,1,Economy Class,1,Family Leisure,1,0
British Airways,Boeing 787-9,,November 2023,1,3,4,5,yes,30th November 2023,"""I was pleasantly surprised""", (United Kingdom) ,London to Johannesburg,2,Economy Class,3,Solo Leisure,3,1
British Airways,,,July 2023,1,1,1,1,,26th November 2023,"""Buckle up, folks; this one's a rollercoaster""", (United Kingdom) ,Zürich to Tokyo Haneda via London,1,Economy Class,1,Family Leisure,1,1
British Airways,A380,,November 2023,5,5,4,9,yes,23rd November 2023,"""cabin crew excellent""", (United Kingdom) ,London to Miami,5,First Class,5,Couple Leisure,4,2
British Airways,,,November 2023,0,0,1,1,,19th November 2023,"""Service level far worse then Ryanair""", (United Kingdom) ,London to Stuttgart,1,Economy Class,1,Couple Leisure,1,0
British Airways,A320,,November 2023,2,1,1,3,,19th November 2023,"""do not upgrade members based on status""", (United Kingdom) ,Brussels to London,2,Economy Class,3,Business,2,2
British Airways,A320,,November 2023,0,4,4,8,yes,16th November 2023,"""Flight was smooth and quick""", (United Kingdom) ,London Heathrow to Dublin,3,Business Class,3,Couple Leisure,3,0
British Airways,,,December 2022,0,0,1,1,,16th November 2023,"""Absolutely hopeless airline""", (United Kingdom) ,London to Dublin,3,Economy Class,3,Couple Leisure,1,0
British Airways,,,November 2023,1,1,1,1,,14th November 2023,"""Customer Service is non existent""", (United Kingdom) ,London to Lisbon,1,Economy Class,1,Couple Leisure,1,1
British Airways,A320,,September 2023,1,1,1,1,,12th November 2023,"""I can’t imagine a worst airline""", (United Kingdom) ,Bucharest to Manchester via London,1,Economy Class,1,Solo Leisure,1,0
British Airways,Boeing 777-300,,November 2023,4,4,4,8,yes,8th November 2023,"""sufficient leg and arm room""", (United Kingdom) ,Manchester to Cape Town via London,5,Premium Economy,5,Couple Leisure,4,0
British Airways,A320,,November 2023,0,3,3,7,yes,7th November 2023,“crew were polite”, (United Kingdom) ,Seville to London Gatwick ,3,Economy Class,3,Solo Leisure,3,0
British Airways,Boeing 777,,November 2023,4,4,3,2,yes,5th November 2023,"""Angry, disappointed, and unsatisfied""", (United Kingdom) ,London Heatrow to Atlanta,4,Economy Class,5,Family Leisure,5,3
British Airways,,,October 2023,1,1,3,3,,5th November 2023,"""BA now stands for Basic Airways""", (United Kingdom) ,Gatwick to Antalya,3,Economy Class,3,Couple Leisure,1,1
British Airways,A320,,November 2023,0,0,4,8,yes,4th November 2023,"""A totally unremarkable flight""", (United Kingdom) ,Dublin to London Heathrow,3,Business Class,3,Couple Leisure,3,0
British Airways,,,October 2023,3,3,1,1,,31st October 2023,“BA clearly does not care”, (United Kingdom) ,Anchorage to Heathrow via Barcelona,3,Economy Class,3,Couple Leisure,1,3
British Airways,A320,,October 2023,0,1,3,6,,28th October 2023,"""reflect a downward trend of the airline""", (United Kingdom) ,London Heathrow to Gibraltar,3,Economy Class,1,Solo Leisure,2,1
British Airways,,,October 2023,3,4,5,8,yes,24th October 2023,"""One of my better flights""", (United Kingdom) ,London to Philadelphia,4,Economy Class,5,Couple Leisure,5,0
British Airways,A321 neo,,October 2023,0,3,5,7,yes,23rd October 2023,"""I would still recommend BA"" ", (United Kingdom) ,London Heathrow to Cairo,3,Economy Class,5,Business,2,0
British Airways,,,October 2023,3,3,1,1,,22nd October 2023,"""the worst experience ever""", (United Kingdom) ,Seattle to Porto via Heathrow,2,Economy Class,3,Couple Leisure,1,3
British Airways,A320,,October 2023,0,3,4,8,yes,22nd October 2023,"""an exceptional crew member"" ", (United Kingdom) ,Malta to London Gatwick,4,Economy Class,5,Couple Leisure,4,0
British Airways,,,October 2023,0,0,2,3,,21st October 2023,"""even Ryanair have more space""", (United Kingdom) ,London to Amsterdam,1,Economy Class,3,Solo Leisure,1,0
British Airways,A380-800,,October 2023,3,2,2,4,,21st October 2023,"""in-flight service is usually weak""", (United Kingdom) ,San Francisco to London,3,Economy Class,2,Solo Leisure,3,0
British Airways,,,October 2023,1,1,2,1,,19th October 2023,"""BA customer service is a disgrace""", (United Kingdom) ,İstanbul to London,2,Business Class,1,Solo Leisure,1,1
British Airways,,,October 2023,5,1,1,1,,19th October 2023,"""little concern for customer service""", (United Kingdom) ,London to Austin,1,Economy Class,1,Couple Leisure,1,0
